Adilabad,Nizamabad,Karimnagar,Warangal,Khammam
34.25267,37.00329,34.543644,35.277645,34.79182
36.02981,37.524857,34.15478,34.318974,34.78731
36.661358,39.2387,33.611965,34.721695,34.167812
36.77496,39.39976,34.45065,34.504932,34.02015
36.1128,37.70503,35.027946,35.676292,33.953022
36.633095,37.811584,35.9935,35.9095,34.118248
37.045895,37.488373,35.243633,34.82553,35.270218
37.431942,37.195175,31.985558,34.230682,35.36926
37.809055,37.491455,32.14193,34.111168,34.588978
37.91451,37.064556,33.938816,34.834476,35.28283
38.026356,37.039738,34.29133,36.116653,35.41248
38.46799,38.746872,35.236664,37.159966,35.566063
38.432335,38.231167,35.774643,37.81076,36.290215
38.593693,37.68649,35.971127,35.042652,36.549168
38.725918,31.85401,37.76211,34.037205,35.895844
38.623837,34.707012,37.635532,33.877956,34.83626
38.65288,36.87754,37.086464,34.24158,35.477802
38.73032,36.540245,37.07742,33.92147,34.800518
38.765053,37.292953,37.09181,33.25017,35.5522
38.40362,37.411324,37.103462,33.424934,34.463547
38.331158,37.383312,38.01133,31.46332,35.97001
38.63641,37.45754,37.82854,30.974459,36.561417
36.885418,37.494987,37.04992,32.011868,36.002
38.136787,37.894802,36.181984,32.46079,34.52188
38.741306,38.37572,36.93335,33.334156,35.519806
39.13731,40.149307,37.65507,32.773438,35.95454
38.39757,39.57903,37.48137,30.475586,36.316036
31.442127,40.267338,37.21722,30.380388,36.391834
34.36875,39.8396,37.425217,31.37593,35.86469
36.307537,39.934555,37.637115,32.09539,35.799706
37.991425,38.07353,36.969223,32.574814,35.788727
39.35668,37.984417,37.119366,33.53194,37.277367
38.767418,39.735767,37.128555,33.329926,37.391
38.28999,40.10951,37.492443,33.029438,36.083675
38.54414,39.735374,37.639595,32.640846,37.422432
38.837883,39.06365,37.754272,32.688473,38.50766
38.690075,38.08973,37.542896,32.946316,38.087845
38.870422,37.641666,37.034435,33.936398,39.448856
39.66835,37.730106,38.49135,34.418415,38.35993
40.40573,38.76985,39.01111,33.790974,38.03364
41.05623,37.597515,39.173534,33.35292,37.95505
40.951,38.870914,39.355347,33.363087,37.950413
41.277927,39.537296,40.6299,34.218197,37.94925
40.74651,39.62441,40.595146,33.623123,37.946842
39.43775,37.888348,40.94888,32.86385,37.9436
39.676826,39.80141,41.157097,32.96741,37.880936
40.449055,41.370647,41.616444,33.80577,38.167213
40.256184,41.841503,41.436405,33.771137,36.7402
39.951855,42.20711,41.468586,33.136204,34.881985
39.73912,42.69781,41.72329,32.87438,37.393368
37.518,41.796204,41.343674,33.25128,37.70797
38.420433,42.539246,41.570644,34.004898,37.76187
38.8291,42.118366,42.283665,34.098602,37.786335
38.873272,42.932297,41.70753,32.505714,38.464314
38.697712,42.01892,41.70807,32.150745,39.79237
38.837868,42.222763,39.379333,32.41494,38.44433
39.04568,42.402325,40.017403,33.07087,38.03337
38.623177,42.8748,41.04246,34.062473,37.99308
40.11123,42.266235,40.613453,34.54766,38.400974
40.92489,42.36171,41.174892,34.6876,38.44363
41.692738,41.338047,41.01002,34.475636,38.278687
41.90155,41.460697,41.02087,34.35673,38.028526
42.570023,42.250767,40.979557,33.54175,38.1754
42.59191,42.49006,41.826942,34.015503,36.782604
43.040028,42.281776,41.619267,33.638195,38.288883
42.990025,42.19349,39.283638,34.022106,38.31566
42.604595,42.381035,40.38497,33.483948,38.33611
43.038082,43.461117,39.985294,33.05875,38.349453
43.025967,42.05477,41.107597,31.970491,38.421925
42.91801,42.105682,41.37708,32.40664,39.725124
43.013912,41.944416,41.507793,30.753653,40.24573
43.285587,41.576992,42.56732,28.597208,41.50672
43.54876,42.21258,42.724983,29.500551,36.929043
43.92529,42.618443,41.52139,31.72188,38.07304
43.98659,41.96046,41.628746,32.859283,41.162598
42.67991,41.24697,41.649616,33.01806,41.41007
42.524197,36.27346,42.031853,32.759712,41.53029
42.835167,41.53519,41.928715,32.436256,40.03646
43.212704,42.08062,41.310562,32.505978,41.0876
43.547756,39.511833,41.626328,33.243965,40.515434
43.64091,43.068943,42.32735,33.090828,40.205963
44.077934,42.77529,42.995174,32.84038,35.68224
43.745846,43.066727,42.501198,33.67384,37.999054
44.595554,42.101105,41.254322,34.193657,38.15538
44.330147,38.37109,41.776604,34.335804,36.67405
43.55697,38.29915,37.075554,34.214058,36.65092
43.519302,41.607265,40.560745,33.140427,39.672737
42.99856,39.398315,40.998966,32.786274,38.158127
43.298733,39.5659,39.50814,33.42937,36.95069
43.44512,40.674706,40.248627,32.97678,37.823776
44.00181,35.56253,39.2525,32.81198,36.62101
44.161804,34.517956,36.716908,33.148052,34.04092
44.14579,34.999527,37.146885,32.869617,35.742466
43.970818,36.781887,37.174267,32.576744,37.63104
43.693916,36.637215,34.449818,31.700497,36.155857
42.981125,36.734035,36.19534,31.574522,37.46031
43.404484,37.173397,37.17663,31.492722,37.63363
43.944397,36.87248,37.0178,30.891563,36.195503
42.47272,38.9072,37.9334,31.75569,33.270596
43.80673,38.97311,37.730827,32.50205,32.71006
43.641582,37.938038,38.033226,33.20745,33.783813
42.24627,37.958347,37.885967,33.13154,34.307117
39.925842,37.765102,37.894485,33.110733,32.640408
42.0137,38.10863,38.28756,33.179447,33.57575
39.800316,39.237026,38.617096,33.379383,32.395542
40.429775,37.199898,37.561638,33.56641,33.425716
37.881046,33.63126,36.229904,33.656883,33.62777
35.44948,36.850338,35.64464,34.554726,35.511887
35.743362,35.636517,34.40368,34.326412,35.889763
36.319588,36.72597,35.271854,33.911976,32.86552
35.843548,35.427097,32.457268,33.231434,34.95321
36.14791,35.34075,33.925407,33.10252,34.491333
37.122753,36.650017,34.928932,33.56711,36.784847
38.095642,36.69384,34.903824,33.034725,37.19697
37.87987,37.161415,35.036953,31.868639,37.34704
38.427322,37.019627,34.351433,31.989567,37.45481
39.137173,35.41077,35.54228,33.17198,37.54533
38.746468,36.86672,35.840473,33.26671,36.124714
36.60992,35.371662,33.626026,32.83215,37.46117
36.11895,31.463295,32.981773,32.736694,37.64627
35.673557,30.943468,29.56902,32.632614,37.71057
34.28373,32.15367,30.081993,32.778156,37.752857
33.318485,33.011158,31.025574,32.983727,36.399185
